code,bits,angle
1,000000001,0
2,000000010,40
3,000000011,39
4,000000100,80
5,000000101,1
6,000000110,79
7,000000111,38
8,000001000,120
9,000001001,129
10,000001010,41
11,000001011,42
12,000001100,119
14,000001110,78
15,000001111,37
16,000010000,160
17,000010001,171
18,000010010,169
19,000010011,170
20,000010100,81
21,000010101,84
22,000010110,82
23,000010111,83
24,000011000,159
25,000011001,128
26,000011010,126
27,000011011,127
28,000011100,118
29,000011101,85
30,000011110,77
31,000011111,76
33,000100001,11
34,000100010,211
36,000100100,209
37,000100101,214
38,000100110,210
39,000100111,213
40,000101000,121
42,000101010,124
44,000101100,122
45,000101101,215
46,000101110,123
47,000101111,218
49,000110001,12
50,000110010,168
54,000110110,167
56,000111000,158
58,000111010,125
60,000111100,117
62,000111110,116
63,000111111,115
64,001000000,240
65,001000001,9
66,001000010,51
67,001000011,8
68,001000100,251
69,001000101,96
70,001000110,252
72,001001000,249
74,001001010,254
76,001001100,250
77,001001101,261
78,001001110,253
79,001001111,260
80,001010000,161
81,001010001,14
82,001010010,256
84,001010100,164
86,001010110,257
88,001011000,162
90,001011010,255
92,001011100,163
94,001011110,258
95,001011111,259
96,001100000,239
97,001100001,10
98,001100010,52
100,001100100,208
105,001101001,21
108,001101100,207
109,001101101,262
113,001110001,13
116,001110100,165
117,001110101,264
119,001110111,265
120,001111000,157
121,001111001,20
124,001111100,156
125,001111101,263
126,001111110,155
127,001111111,154
128,010000000,280
129,010000001,281
130,010000010,49
131,010000011,6
132,010000100,91
133,010000101,4
134,010000110,48
135,010000111,5
136,010001000,291
137,010001001,134
138,010001010,136
139,010001011,135
140,010001100,292
144,010010000,289
145,010010001,16
147,010010011,181
148,010010100,294
152,010011000,290
154,010011010,301
155,010011011,182
156,010011100,293
157,010011101,184
158,010011110,300
159,010011111,183
161,010100001,284
162,010100010,54
164,010100100,296
167,010100111,104
168,010101000,204
171,010101011,28
172,010101100,297
173,010101101,108
175,010101111,107
176,010110000,202
177,010110001,17
180,010110100,295
183,010110111,189
184,010111000,203
187,010111011,191
188,010111100,298
190,010111110,299
191,010111111,190
192,011000000,279
193,011000001,282
194,011000010,50
195,011000011,7
197,011000101,97
200,011001000,248
209,011010001,15
210,011010010,61
211,011010011,62
213,011010101,268
215,011010111,71
216,011011000,247
218,011011010,302
221,011011101,269
223,011011111,72
224,011100000,238
225,011100001,283
226,011100010,53
231,011100111,105
232,011101000,205
234,011101010,304
235,011101011,29
237,011101101,271
238,011101110,305
239,011101111,106
240,011110000,197
241,011110001,18
242,011110010,60
245,011110101,267
247,011110111,266
248,011111000,196
249,011111001,19
250,011111010,303
252,011111100,195
253,011111101,270
254,011111110,194
255,011111111,193
256,100000000,320
257,100000001,359
258,100000010,321
259,100000011,358
260,100000100,89
261,100000101,2
262,100000110,46
263,100000111,357
264,100001000,131
265,100001001,130
266,100001010,44
267,100001011,43
268,100001100,88
269,100001101,87
270,100001110,45
271,100001111,36
272,100010000,331
274,100010010,174
275,100010011,173
276,100010100,176
277,100010101,177
278,100010110,175
279,100010111,178
280,100011000,332
287,100011111,75
288,100100000,329
289,100100001,328
290,100100010,56
294,100100110,221
295,100100111,220
296,100101000,334
303,100101111,219
304,100110000,330
308,100110100,341
310,100110110,222
312,100111000,333
314,100111010,224
315,100111011,225
316,100111100,340
318,100111110,223
319,100111111,114
320,101000000,241
321,101000001,326
322,101000010,324
323,101000011,325
324,101000100,94
325,101000101,95
328,101001000,336
329,101001001,141
333,101001101,142
334,101001110,144
335,101001111,143
336,101010000,244
339,101010011,64
341,101010101,348
342,101010110,68
343,101010111,67
344,101011000,337
346,101011010,148
347,101011011,149
349,101011101,151
350,101011110,147
351,101011111,150
352,101100000,242
353,101100001,327
354,101100010,57
360,101101000,335
361,101101001,22
363,101101011,31
366,101101110,229
367,101101111,32
368,101110000,243
371,101110011,65
373,101110101,349
374,101110110,231
375,101110111,66
376,101111000,338
378,101111010,227
379,101111011,226
380,101111100,339
381,101111101,152
382,101111110,230
383,101111111,153
384,110000000,319
385,110000001,318
386,110000010,322
387,110000011,317
388,110000100,90
389,110000101,3
390,110000110,47
391,110000111,356
392,110001000,132
393,110001001,133
394,110001010,137
395,110001011,138
399,110001111,35
400,110010000,288
403,110010011,180
407,110010111,179
413,110011101,185
415,110011111,74
416,110100000,286
417,110100001,285
418,110100010,55
420,110100100,101
422,110100110,102
423,110100111,103
425,110101001,24
426,110101010,308
427,110101011,27
429,110101101,109
430,110101110,111
431,110101111,110
432,110110000,287
436,110110100,342
437,110110101,351
439,110110111,352
441,110111001,25
442,110111010,309
443,110111011,26
446,110111110,112
447,110111111,113
448,111000000,278
449,111000001,277
450,111000010,323
451,111000011,316
452,111000100,93
453,111000101,98
455,111000111,355
457,111001001,140
459,111001011,139
462,111001110,145
463,111001111,34
464,111010000,245
467,111010011,63
468,111010100,344
469,111010101,347
470,111010110,69
471,111010111,70
474,111011010,311
475,111011011,312
476,111011100,345
477,111011101,346
478,111011110,146
479,111011111,73
480,111100000,237
481,111100001,276
482,111100010,58
483,111100011,315
484,111100100,100
485,111100101,99
487,111100111,354
489,111101001,23
490,111101010,307
491,111101011,30
493,111101101,272
494,111101110,306
495,111101111,33
496,111110000,236
497,111110001,275
498,111110010,59
499,111110011,314
500,111110100,343
501,111110101,350
502,111110110,232
503,111110111,353
504,111111000,235
505,111111001,274
506,111111010,310
507,111111011,313
508,111111100,234
509,111111101,273
510,111111110,233
